Exercise,primary,secondary
barbell-landmine-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
barbell-decline-bench-press,front_chest,back_hamstrings (40.0%)
barbell-deadlift,back_hamstrings,front_quads (40.0%)
barbell-wrist-curl-flexion,front_forearms,
barbell-floor-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
half-barbell-curl,front_biceps,
single-arm-landmine-push-press,front_shoulders,
barbell-snatch-press,front_shoulders,
barbell-hang-snatch,front_traps,"back_lower_back (40.0%), front_shoulders (40.0%)"
barbell-sumo-squat,front_quads,
landmine-push-press,front_shoulders,
barbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
barbell-power-snatch,front_traps,"back_glutes (40.0%), front_shoulders (40.0%)"
barbell-step-up-to-reverse-lunge,front_quads,
barbell-wrist-curl-extension,front_forearms,
barbell-overhead-row,back_lats,
landmine-thruster,front_shoulders,back_glutes (40.0%)
barbell-bench-press,front_chest,"back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-floor-overhead-row,back_lats,
barbell-overhead-lunge,front_shoulders,back_glutes (40.0%)
barbell-hip-thrust-hold,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
landmine-front-squat,front_quads,"back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-forward-lunge-hold,front_quads,
barbell-reverse-half-lunge,front_quads,
barbell-zercher-squat,front_quads,back_lower_back (40.0%)
barbell-wide-bent-over-row,back_lats,front_biceps (40.0%)
staggered-stance-barbell-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
unilateral-barbell-landmine-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
barbell-front-rack-lunge,front_quads,front_hip_flexors (40.0%)
half-kneeling-barbell-landmine-press,front_shoulders,
barbell-good-morning,back_hamstrings,
single-leg-barbell-deadlift,back_hamstrings,front_quads (40.0%)
landmine-rotary,front_shoulders,front_abs (40.0%)
seated-barbell-overhead-press,front_shoulders,
single-leg-barbell-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
barbell-box-squat,front_quads,back_hamstrings (40.0%)
barbell-jump-squat,front_quads,"back_calves (40.0%), back_hamstrings (40.0%)"
barbell-half-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
barbell-roll-out,front_abs,"back_lats (40.0%), front_obliques (40.0%)"
barbell-close-grip-bench-press,front_chest,
barbell-power-clean,front_traps,back_glutes (40.0%)
barbell-hang-clean,front_traps,back_lower_back (40.0%)
barbell-curl,front_biceps,
barbell-clean-and-press,front_traps,back_lower_back (40.0%)
barbell-snatch-pull,front_traps,"back_glutes (40.0%), back_lower_back (40.0%)"
barbell-snatch-grip-deadlift,back_hamstrings,"back_glutes (40.0%), front_quads (40.0%), front_traps (40.0%)"
barbell-hex-bar-squat,front_quads,back_hamstrings (40.0%)
barbell-bent-over-row,back_lats,"back_hamstrings (40.0%), front_biceps (40.0%), front_traps (40.0%)"
barbell-upright-row,front_shoulders,front_traps (40.0%)
barbell-forward-lunge,front_quads,
barbell-thruster,front_shoulders,back_glutes (40.0%)
barbell-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
barbell-overhead-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-clean-and-jerk,front_traps,back_lower_back (40.0%)
barbell-snatch,front_traps,"back_glutes (40.0%), front_shoulders (40.0%)"
barbell-clean,front_traps,"back_lower_back (40.0%), front_shoulders (40.0%)"
barbell-preacher-curl,front_biceps,
unilateral-barbell-landmine-press,front_shoulders,
top-half-barbell-curl,front_biceps,
barbell-step-up,front_quads,
barbell-split-squat,front_quads,back_hamstrings (40.0%)
barbell-shrug,front_traps,
single-leg-barbell-hip-thrust,back_glutes,"back_lower_back (40.0%), back_hamstrings (40.0%), front_quads (40.0%)"
barbell-squat,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%)"
barbell-skull-crusher,back_hamstrings,
barbell-back-extension,back_lower_back,"back_glutes (40.0%), back_hamstrings (40.0%)"
barbell-reverse-curl,front_biceps,"back_forearms (40.0%), front_forearms (40.0%)"
barbell-push-press,front_shoulders,
barbell-front-rack-split-squat,front_quads,front_hip_flexors (40.0%)
barbell-split-jerk,front_quads,"back_glutes (40.0%), back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-hex-bar-deadlift,back_hamstrings,front_quads (40.0%)
half-kneeling-barbell-overhead-press,front_shoulders,
barbell-incline-bench-press,front_shoulders,
barbell-overhead-press,front_shoulders,
barbell-sumo-deadlift,front_quads,back_lower_back (40.0%)
barbell-walking-lunge,front_quads,
landmine-romanian-deadlift,back_hamstrings,back_glutes (40.0%)
barbell-landmine-press,front_shoulders,
barbell-front-squat,front_quads,front_hip_flexors (40.0%)
barbell-clean-pull,front_traps,back_lower_back (40.0%)
barbell-jump-lunge,front_quads,back_hamstrings (40.0%)
west-side-barbell-box-squat,front_quads,
barbell-overhead-lunge-hold,front_shoulders,back_glutes (40.0%)
barbell-reverse-lunge,front_quads,back_hamstrings (40.0%)
barbell-floor-tricep-cycle,back_hamstrings,"front_chest (40.0%), front_shoulders (40.0%)"
barbell-calf-raise,back_calves,
