ladder-single-leg-hop,Ladder,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%), front_quads (40.0%)"
ladder-hopscotch,Ladder,
single-leg-calf-raise-on-leg-press,Machine,
ladder-shuffle,Ladder,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
bodyweight-calf-raise,Bodyweight,
single-leg-bodyweight-calf-raise,Bodyweight,
machine-leg-press-calf-raise,Machine,
calf-stretch,Bodyweight,
jumping-jack,Bodyweight,"back_hip_adductors (40.0%), back_hamstrings (40.0%), front_hip_adductors (40.0%), front_shoulders (40.0%)"
jump-rope,Bodyweight,front_quads (40.0%)
bunny-hop,Bodyweight,front_quads (40.0%)
ladder-hop,Ladder,
dumbbell-calf-raise,Dumbbell,
calf-roller,Roller,
ladder-four-step-shuffle,Ladder,"back_glutes (40.0%), front_hip_flexors (40.0%), front_quads (40.0%)"
ladder-single-leg-shuffle,Ladder,"back_hip_abductors (40.0%), back_hip_adductors (40.0%), front_hip_abductors (40.0%), front_hip_adductors (40.0%), front_quads (40.0%)"
ladder-inside-outside,Ladder,"back_hip_abductors (40.0%), front_hip_abductors (40.0%)"
kettlebell-calf-raise,Kettlebell,
ladder-shuffle-hop,Ladder,"back_hip_abductors (40.0%), front_hip_abductors (40.0%), front_quads (40.0%)"
standing-calf-stretch,Bodyweight,
single-leg-kettlebell-calf-raise,Kettlebell,
hand-roller-calf,Roller,
ladder-lateral-skier,Ladder,"front_hip_flexors (40.0%), front_quads (40.0%)"
single-leg-dumbbell-calf-raise,Dumbbell,
barbell-calf-raise,Barbell,
