cable-hammer-curl,"Cables, Hammer",
dumbbell-hammer-curl,"Dumbbell, Hammer",
half-cable-curl,Cables,
half-barbell-curl,Barbell,
top-half-ez-bar-curl,EZ Curl Bar,
seated-band-curl,Bands,
top-half-kettlebell-curl,Kettlebell,
top-half-dumbbell-curl,Dumbbell,
kettlebell-lying-curl,Kettlebell,
kettlebell-curl,Kettlebell,
kettlebell-hammer-curl,"Kettlebell, Hammer",
seated-kettlebell-curl,Kettlebell,
ez-bar-curl,EZ Curl Bar,
half-band-curl,Bands,
band-curl,Bands,
yoga-ball-band-reverse-curl,"Bands, Yoga Ball","back_forearms (40.0%), front_forearms (40.0%)"
barbell-curl,Barbell,
seated-band-hammer-curl,"Bands, Hammer",
band-reverse-curl,Bands,"back_forearms (40.0%), front_forearms (40.0%)"
seated-cable-curl,Cables,
barbell-preacher-curl,Barbell,
top-half-barbell-curl,Barbell,
seated-dumbbell-curl,Dumbbell,
seated-ez-bar-curl,EZ Curl Bar,
trx-reverse-curl,trx,"back_forearms (40.0%), front_forearms (40.0%)"
kettlebell-half-curl,Kettlebell,
dumbbell-lying-curl,Dumbbell,
alternating-band-curl,Bands,
seated-kettlebell-hammer-curl,"Kettlebell, Hammer",
ez-bar-preacher-curl,EZ Curl Bar,
seated-dumbbell-hammer-curl,"Dumbbell, Hammer",
dumbbell-reverse-curl,Dumbbell,"back_forearms (40.0%), front_forearms (40.0%)"
ez-bar-half-curl,EZ Curl Bar,
barbell-reverse-curl,Barbell,"back_forearms (40.0%), front_forearms (40.0%)"
band-hammer-curl,"Bands, Hammer",
seated-cable-hammer-curl,"Cables, Hammer",
seated-med-ball-curl,Medball,
alternating-kettlebell-curl,Kettlebell,
trx-curl,trx,
cable-reverse-curl,Cables,"back_forearms (40.0%), front_forearms (40.0%)"
med-ball-curl,Medball,
kettlebell-reverse-curl,Kettlebell,"back_forearms (40.0%), front_forearms (40.0%)"
kettlebell-preacher-curl,Kettlebell,
yoga-ball-kettlebell-reverse-curl,"Kettlebell, Yoga Ball","back_forearms (40.0%), front_forearms (40.0%)"
yoga-ball-dumbbell-reverse-curl,"Dumbbell, Yoga Ball","back_forearms (40.0%), front_forearms (40.0%)"
alternating-cable-curl,Cables,
dumbbell-preacher-curl,Dumbbell,
alternating-dumbbell-curl,Dumbbell,
cable-curl,Cables,
dumbbell-curl,Dumbbell,
half-dumbbell-curl,Dumbbell,
