barbell-decline-bench-press,"Barbell, Bench",back_hamstrings (40.0%)
single-arm-single-kettlebell-chest-fly,"Bench, Kettlebell","back_hamstrings (40.0%), front_shoulders (40.0%)"
bicep-push-up,Bodyweight,"back_hamstrings (40.0%), front_biceps (40.0%), front_shoulders (40.0%)"
kettlebell-floor-press,Kettlebell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-floor-press,Barbell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
slider-inchworm-to-push-up,Bodyweight,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
alternating-dumbbell-bench-press,"Bench, Dumbbell","back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-bench-press,"Barbell, Bench","back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-decline-bench-press,"Bench, Cables",back_hamstrings (40.0%)
single-arm-dumbbell-chest-fly,"Bench, Dumbbell","back_hamstrings (40.0%), front_shoulders (40.0%)"
band-floor-press,Bands,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-arm-cable-chest-fly,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-med-ball-bench-press,"Bench, Yoga Ball, Medball","back_hamstrings (40.0%), front_shoulders (40.0%)"
bosu-push-up,Bosu,back_hamstrings (40.0%)
kettlebell-bench-press,"Bench, Kettlebell","back_hamstrings (40.0%), front_shoulders (40.0%)"
kettlebell-chest-fly,"Bench, Kettlebell","back_hamstrings (40.0%), front_shoulders (40.0%)"
trx-push-up,trx,back_hamstrings (40.0%)
half-kneeling-band-chest-fly-low-to-high,Bands,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-arm-split-stance-cable-chest-press,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
chest-opener,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-decline-bench-press,"Bench, Dumbbell",back_hamstrings (40.0%)
kettlebell-floor-chest-fly,Kettlebell,
diamond-push-up,Bodyweight,
kettlebell-decline-bench-press,"Bench, Kettlebell",back_hamstrings (40.0%)
kneeling-push-up,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
barbell-close-grip-bench-press,"Barbell, Bench",
band-bench-press,"Bands, Bench","back_hamstrings (40.0%), front_shoulders (40.0%)"
single-arm-split-stance-cable-decline-press,Cables,back_hamstrings (40.0%)
cable-chest-fly,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
very-incline-wide-push-up,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-half-off-bench-press,"Bench, Dumbbell","back_hamstrings (40.0%), front_abs (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
tricep-push-up,Bodyweight,
alternating-band-bench-press,"Bands, Bench","back_hamstrings (40.0%), front_shoulders (40.0%)"
half-kneeling-cable-chest-fly-low-to-high,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
push-up-hold,Bodyweight,back_hamstrings (40.0%)
med-ball-decline-bench-press,"Bench, Medball",back_hamstrings (40.0%)
split-stance-cable-press,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
trx-push-up-hold,trx,back_hamstrings (40.0%)
machine-hammer-bench-press,"Bench, Machine, Hammer","back_hamstrings (40.0%), front_shoulders (40.0%)"
incline-push-up,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-floor-press,Dumbbell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bodyweight-half-push-up,Bodyweight,back_hamstrings (40.0%)
med-ball-one-arm-elevated-push-up,Medball,back_hamstrings (40.0%)
wide-push-up,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
yoga-ball-dumbbell-bench-press,"Bench, Dumbbell, Yoga Ball","back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-chest-fly-low-to-high,Cables,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-single-leg-bridge-bench-press,"Bench, Dumbbell","back_hamstrings (40.0%), front_abs (40.0%), front_quads (40.0%)"
alternating-cable-bench-press,"Bench, Cables","back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-chest-fly,"Bench, Dumbbell","back_hamstrings (40.0%), front_shoulders (40.0%)"
very-incline-neutral-push-up,Bodyweight,back_hamstrings (40.0%)
split-stance-cable-decline-press,Cables,back_hamstrings (40.0%)
single-arm-side-push-up,Bodyweight,"front_abs (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
yoga-ball-kettlebell-bench-press,"Bench, Kettlebell, Yoga Ball","back_hamstrings (40.0%), front_shoulders (40.0%)"
band-chest-fly-low-to-high,Bands,"back_hamstrings (40.0%), front_shoulders (40.0%)"
machine-chest-fly,Machine,"back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-bench-press,"Bench, Dumbbell","back_hamstrings (40.0%), front_shoulders (40.0%)"
dumbbell-floor-squeeze-press,Dumbbell,"back_hamstrings (40.0%), front_shoulders (40.0%)"
incline-tricep-push-up,Bodyweight,
machine-bench-press,"Bench, Machine","back_hamstrings (40.0%), front_shoulders (40.0%)"
spiderman-push-up,Bodyweight,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
dumbbell-one-arm-elevated-push-up,Dumbbell,back_hamstrings (40.0%)
med-ball-floor-press,Medball,"back_hamstrings (40.0%), front_shoulders (40.0%)"
single-kettlebell-one-arm-elevated-push-up,Kettlebell,back_hamstrings (40.0%)
pec-stretch,Bodyweight,
med-ball-bench-press,"Bench, Medball","back_hamstrings (40.0%), front_shoulders (40.0%)"
kettlebell-half-off-bench-press,"Bench, Kettlebell","back_hamstrings (40.0%), front_abs (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
trx-chest-fly,trx,"back_hamstrings (40.0%), front_shoulders (40.0%)"
explosive-push-up,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
slider-single-arm-push-up,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
cable-bench-press,"Bench, Cables","back_hamstrings (40.0%), front_shoulders (40.0%)"
alternating-kettlebell-bench-press,"Bench, Kettlebell","back_hamstrings (40.0%), front_shoulders (40.0%)"
push-up,Bodyweight,back_hamstrings (40.0%)
dumbbell-floor-chest-fly,Dumbbell,
