med-ball-hands-to-feet,Medball,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
elevated-jackknife-crunch,Bench,front_obliques (40.0%)
high-knee,Bodyweight,"back_glutes (40.0%), front_abs (40.0%)"
butterfly-stretch,Bodyweight,
dip-position-knee-tuck,Dip Bar,"back_hamstrings (40.0%), front_shoulders (40.0%)"
reverse-plank-leg-raise,Bodyweight,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
reverse-crunch,Bodyweight,
yoga-ball-hands-to-feet,Yoga Ball,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
knee-tap,Bodyweight,
dumbbell-chair-leg-raise,Dumbbell,
flutter-kick,Bodyweight,front_obliques (40.0%)
ladder-high-knee,Ladder,back_calves (40.0%)
figure-four-stretch,Bodyweight,
dip-position-leg-raise,Dip Bar,"back_hamstrings (40.0%), front_shoulders (40.0%)"
band-knee-drive,Bands,
leg-raise,Bodyweight,front_obliques (40.0%)
ladder-lateral-high-knee,Ladder,back_calves (40.0%)
lying-alt-leg-raise,Bodyweight,
yoga-ball-leg-raise,Yoga Ball,
ball-toe-tap,Bodyweight,"back_calves (40.0%), back_glutes (40.0%)"
bosu-mountain-climber,Bosu,"back_hamstrings (40.0%), front_shoulders (40.0%)"
a-skip,Bodyweight,
b-skip,Bodyweight,
med-ball-chair-leg-raise,Medball,
hanging-leg-raise,Pull-Up Bar,front_obliques (40.0%)
split-stretch,Bodyweight,
trx-knee-drive,trx,
single-kettlebell-lying-alt-leg-raise,Kettlebell,
med-ball-leg-raise,Medball,front_obliques (40.0%)
dumbbell-leg-raise,Dumbbell,front_obliques (40.0%)
cable-band-knee-drive,"Bands, Cables",
med-ball-lying-alt-leg-raise,Medball,
hip-flexor-stretch,Bodyweight,front_quads (40.0%)
march,Bodyweight,
mountain-climber,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
l-sit,Bodyweight,"back_hamstrings (40.0%), front_shoulders (40.0%)"
bodyweight-standing-hip-rotation,Bodyweight,
hip-flexor-roller,Roller,
band-chair-leg-raise,Bands,
dumbbell-lying-alt-leg-raise,Dumbbell,
dip-position-alt-leg-raise,Dip Bar,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
bent-knee-chair-leg-raise,Bodyweight,
spiderman-stretch,Bodyweight,
frog-stretch,Bodyweight,
the-hundred,Bodyweight,"back_hamstrings (40.0%), front_obliques (40.0%), front_shoulders (40.0%)"
fast-feet,Bodyweight,front_quads (40.0%)
l-sit-pull-up,Pull-Up Bar,front_biceps (40.0%)
